photoshop:Source,Creator
Iptc4xmpCore:CiUrlWork,CreatorURL
dc:creator,Contact.Name
Iptc4xmpCore:CiEmailWork,Contact.Email
Iptc4xmpCore:CiTelWork,Contact.Telephone
Iptc4xmpCore:CiAdrExtadr,Contact.Address
Iptc4xmpCore:CiAdrCity,Contact.City
Iptc4xmpCore:CiAdrRegion,Contact.StateProvince
Iptc4xmpCore:CiAdrPcode,Contact.PostalCode
Iptc4xmpCore:CiAdrCtry,Contact.Country
xapRights:UsageTerms,Rights
dc:title,Title
photoshop:Headline,Headline
dc:description,Description
avm:Subject.Category,Subject.Category
dc:subject,Subject.Name
avm:Distance,Distance
avm:Distance.Notes,Distance.Notes
avm:ReferenceURL,ReferenceURL
photoshop:Credit,Credit
photoshop:DateCreated,Date
avm:ID,ID
avm:Type,Type
avm:Image.ProductQuality,Image.ProductQuality
avm:Facility,Facility
avm:Instrument,Instrument
avm:Spectral.ColorAssignment,Spectral.ColorAssignment
avm:Spectral.Band,Spectral.Band
avm:Spectral.Bandpass,Spectral.Bandpass
avm:Spectral.CentralWavelength,Spectral.CentralWavelength
avm:Spectral.Notes,Spectral.Notes
avm:Temporal.StartTime,Temporal.StartTime
avm:Temporal.IntegrationTime,Temporal.IntegrationTime
avm:DatasetID,DatasetID
avm:Spatial.CoordinateFrame,Spatial.CoordinateFrame
avm:Spatial.Equinox,Spatial.Equinox
avm:Spatial.ReferenceValue,Spatial.ReferenceValue
avm:Spatial.ReferenceDimension,Spatial.ReferenceDimension
avm:Spatial.ReferencePixel,Spatial.ReferencePixel
avm:Spatial.Scale,Spatial.Scale
avm:Spatial.Rotation,Spatial.Rotation
avm:Spatial.CoordsystemProjection,Spatial.CoordsystemProjection
avm:Spatial.Quality,Spatial.Quality
avm:Spatial.Notes,Spatial.Notes
avm:Spatial.FITSheader,Spatial.FITSheader
avm:Publisher,Publisher
avm:PublisherID,PublisherID
avm:ResourceID,ResourceID
avm:ResourceURL,ResourceURL
avm:RelatedResources,RelatedResources
avm:MetadataDate,MetadataDate
avm:MetadataVersion,MetadataVersion
File.BitDepth,File.BitDepth
File.Dimension,File.Dimension
File.Size,File.Size
File.Type,File.Type
thumbnail_path,thumbnail_path
