avm_id|ID
avm_meta_id|#
avm_type|Type
contact_addr|Contact.Address
contact_city|Contact.City
contact_country|Contact.Country
contact_email|Contact.Email
contact_name|Contact.Name
contact_phone|Contact.Telephone
contact_postal_code|Contact.PostalCode
contact_state_prov|Contact.StateProvince
creator|Creator
creator_url|CreatorURL
credit|Credit
dataset_id|DatasetID
date_created|Date
description|Description
distance|Distance
distance_notes|Distance.Notes
facility|Facility
headline|Headline
image_product_quality|Image.ProductQuality
instrument|Instrument
metadata_date|MetadataDate
metadata_version|MetadataVersion
publisher|Publisher
publisher_id|PublisherID
reference_url|ReferenceURL
related_resources|RelatedResources
rights|Rights
spatial_cd_matrix|Spatial.CDMatrix
spatial_coord_frame|Spatial.CoordinateFrame
spatial_coordsys_proj|Spatial.CoordsystemProjection
spatial_equinox|Spatial.Equinox
spatial_fits_header|Spatial.FITSheader
spatial_notes|Spatial.Notes
spatial_quality|Spatial.Quality
spatial_ref_dim|Spatial.ReferenceDimension
spatial_ref_pixel|Spatial.ReferencePixel
spatial_ref_value|Spatial.ReferenceValue
spatial_rotation|Spatial.Rotation
spatial_scale|Spatial.Scale
spectral_band|Spectral.Band
spectral_bandpass|Spectral.Bandpass
spectral_central_wl|Spectral.CentralWavelength
spectral_color_asgmnt|Spectral.ColorAssignment
spectral_notes|Spectral.Notes
subject_cat|Subject.Category
subject_name|Subject.Name
temporal_int_time|Temporal.IntegrationTime
temporal_start_time|Temporal.StartTime
thumbnail_path|thumbnail_path
title|Title
