\sortInfo = ASC,scan_id,frame_num,band
|in_row_id|in_ra             |in_dec            |band  |crval1          |crval2         |ra1             |dec1           |ra2             |dec2           |ra3             |dec3           |ra4             |dec4           |magzp   |magzpunc|modeint  |scan_id|scangrp|frame_num|date_obs               |mjd_obs       |dtanneal         |utanneal               |exptime|debgain|febgain|moon_sep|saa_sep|qual_frame|qual_scan|
|long     |double            |double            |i     |double          |double         |double          |double         |double          |double         |double          |double         |double          |double         |double  |double  |double   |char   |char   |int      |char                   |double        |double           |char                   |double |double |double |double  |double |int       |int      |
|         |deg               |deg               |      |deg             |deg            |deg             |deg            |deg             |deg            |deg             |deg            |deg             |deg            |mag     |mag     |DN       |       |       |         |                       |yr            |s                |                       |s      |e-/DEB ADU|e-/SUR ADU|deg     |deg    |          |         |
|         |                  |                  |null  |null            |null           |null            |null           |null            |null           |null            |null           |null            |null           |null    |null    |null     |null   |null   |null     |null                   |null          |null             |null                   |null   |null   |null   |null    |null   |null      |null     |
         1 148.88822000000000 69.065290000000000      1 148.091907660943 69.216500151803 147.747300659746 69.753723736125 149.609169038886 69.325174652421 148.416101338595 68.681445511224 146.581092876003 69.095855886554 20.75200 0.006000    12.852  03622a      2a       232 2010-04-13 09:35:29.719 55299.39964953 31498.07539355750 2010-04-13 00:50:31.644     7.7   3.750  5.7400   98.474 105.958         10         5
         1 148.88822000000000 69.065290000000000      2 148.091267561121 69.215994187436 147.748229355859 69.754938932423 149.615509607501 69.320935923840 148.414293629837 68.679365188373 146.573473053945 69.098806692510 19.59600 0.007000    28.363  03622a      2a       232 2010-04-13 09:35:29.719 55299.39964953 31498.07539355750 2010-04-13 00:50:31.644     7.7   4.600  6.8600   98.474 105.958         10         5
         1 148.88822000000000 69.065290000000000      3 148.090023077784 69.215532258996 147.762821209166 69.755353106532 149.614279632002 69.320751876784 148.396785911445 68.678438995682 146.573405539030 69.098239989354 17.80000 0.012000  1229.312  03622a      2a       232 2010-04-13 09:35:29.719 55299.39964953 31498.07539355750 2010-04-13 00:50:31.644     8.8   6.830 12.8300   98.474 105.958         10         5
         1 148.88822000000000 69.065290000000000      4 148.093533105621 69.216021283964 147.753697629430 69.758437756332 149.619924121896 69.328318601640 148.411481452261 68.677370075470 146.574964186115 69.092243108825 12.94500 0.012000   403.485  03622a      2a       232 2010-04-13 09:35:29.719 55299.39964953 31498.07539355750 2010-04-13 00:50:31.644     8.8   4.730  8.8600   98.474 105.958         10         5
         1 148.88822000000000 69.065290000000000      1 148.208040071131 69.112679374505 147.865248895113 69.649915207528 149.718078485923 69.221344169901 148.530610897656 68.577616623203 146.704325601295 68.992116771963 20.75200 0.006000    12.355  03627a      7a       170 2010-04-13 12:46:00.794 55299.53195363    40.43954110146 2010-04-13 12:45:20.354     7.7   3.750  5.7400   97.585  91.975          0         5
         1 148.88822000000000 69.065290000000000      2 148.207402908641 69.112173426639 147.866173401124 69.651130355952 149.724389362435 69.217105579943 148.528811324588 68.575536340230 146.696743556282 68.995068138960 19.59600 0.007000    28.201  03627a      7a       170 2010-04-13 12:46:00.794 55299.53195363    40.43954110146 2010-04-13 12:45:20.354     7.7   4.600  6.8600   97.585  91.975          0         5
         1 148.88822000000000 69.065290000000000      3 148.206164242129 69.111711530319 147.880693933452 69.651543915967 149.723165273826 69.216921564257 148.511384523504 68.574610510692 146.696676068209 68.994501377091 17.80000 0.012000 38350.219  03627a      7a       170 2010-04-13 12:46:00.794 55299.53195363    40.43954110146 2010-04-13 12:45:20.354     8.8   6.830 12.8300   97.585  91.975          0         5
         1 148.88822000000000 69.065290000000000      4 148.209657697616 69.112200464822 147.871616453291 69.654628989849 149.728781798070 69.224488236934 148.526011538968 68.573541271681 146.698223578553 68.988504558060 12.94500 0.012000 40523.313  03627a      7a       170 2010-04-13 12:46:00.794 55299.53195363    40.43954110146 2010-04-13 12:45:20.354     8.8   4.730  8.8600   97.585  91.975          0         5
         1 148.88822000000000 69.065290000000000      1 148.302602018728 69.012101346308 147.960722243884 69.549282970768 149.805558389712 69.121047112008 148.624403946346 68.477092895573 146.805888554081 68.891328042146 20.75200 0.006000    13.198  03630a      0a       231 2010-04-13 15:56:31.872 55299.66425778 11471.51778507230 2010-04-13 12:45:20.354     7.7   3.750  5.7400   96.687  80.559         10         5
         1 148.88822000000000 69.065290000000000      2 148.301968438682 69.011595291420 147.961640786976 69.550498248921 149.811847308671 69.116809875110 148.622615180829 68.475012306112 146.798338440188 68.894278482954 19.59600 0.007000    28.465  03630a      0a       231 2010-04-13 15:56:31.872 55299.66425778 11471.51778507230 2010-04-13 12:45:20.354     7.7   4.600  6.8600   96.687  80.559         10         5
