wavelength,label,description
520.227,CO,5-4
433.553,CO,6-5
371.647,CO,7-6
325.222,CO,8-7
289.118,CO,9-8
260.238,CO,10-9
236.611,CO,11-10
200.271,CO,13-12
185.998,CO,14-13
173.63,CO,15-14
162.81,CO,16-15
612.127,CS,10-9
556.518,CS,11-10
510.18,CS,12-11
470.974,CS,13-12
437.371,CS,14-13
408.252,CS,15-14
382.775,CS,16-15
360.298,CS,17-16
340.32,CS,18-17
322.448,CS,19-18
306.364,CS,20-19
291.815,CS,21-20
278.59,CS,22-21
266.516,CS,23-22
255.451,CS,24-23
245.28,CS,25-24
235.887,CS,26-25
211.591,CS,29-28
204.578,CS,30-29
198.018,CS,31-30
191.87,CS,32-31
186.095,CS,33-32
180.662,CS,34-33
175.54,CS,35-34
170.703,CS,36-35
166.129,CS,37-36
161.797,CS,38-37
157.689,CS,39-38
613.706,H20,624-717
538.284,H20,110-101
482.986,H20,532-441
398.639,H20,211-202
327.22,H20,422-331
308.962,H20,524-431
303.454,H20,202-111
273.191,H20,312-303
269.27,H20,111-000
259.98,H20,312-221
258.814,H20,634-541
257.793,H20,321-312
255.679,H20,744-651
248.245,H20,422-413
243.972,H20,220-211
212.524,H20,523-514
208.075,H20,726-633
194.421,H20,633-542
190.436,H20,643-716
187.109,H20,413-404
180.487,H20,221-212
179.525,H20,212-101
174.919,H20,432-505
174.624,H20,303-212
174.605,H20,533-606
170.138,H20,633-624
169.737,H20,735-642
167.034,H20,624-615
166.813,H20,734-725
160.509,H20,532-523
159.399,H20,634-707
158.31,H20,331-404
563.816,HCN,6-5
483.295,HCN,7-6
422.908,HCN,8-7
375.944,HCN,9-8
338.375,HCN,10-9
307.639,HCN,11-10
282.028,HCN,12-11
260.359,HCN,13-12
241.788,HCN,14-13
199.192,HCN,17-16
188.152,HCN,18-17
178.275,HCN,19-18
169.387,HCN,20-21
161.347,HCN,21-20
358.972,CH+,J=1-0
644.383,CH3D,JK=21-11_E
478.96,HCl,J=1-0
644.814,HDO,JKaKc=101-000
335.471,HDO,JkaKc=111-000
243.242,HF,J=1-0
307.642,NH,3?-N=1-0
637.483,NH2D,JKaKc=110-000
523.652,NH3,JK=10-00
181.051,o-H3O+,JK=11+-11-
318.373,OD,2pi1/2J=3/2-1/2
215.58,OD,2pi3/2J=5/2-3/2
163.123,OH,2pi1/2J=3/2-1/2
304.449,p-H3O+,JK=10-00
216.782,SH,2pi3/2J=5/2-3/2
169.41,Halpha,H15alpha
204.41,Halpha,H16alpha
243.923,Halpha,H17alpha
288.223,Halpha,H18alpha
337.583,Halpha,H19alpha
392.277,Halpha,H20alpha
452.579,Halpha,H21alpha
518.761,Halpha,H22alpha
591.097,Halpha,H23alpha
609.13,CI,1-0
370.412,CI,2-1
157.74,CII,C+
