missionId,project,subProject,surveyKey,acronym,wavebandId,imageId,title,wavelength,wavelengthDesc,waveType,projectTypeKey,projectTypeDesc,minRangeDeg,maxRangeDeg,helpUrl,tooltip,apiType,filter,dataType,defaultRgbColor
2MASS,2MASS All-Sky,,asky,2MASS All-Sky J,j,,J (1.235 microns),1.24,1.24 microns,near-IR,all-sky,all-sky,0.008,0.139,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#2MASSAll-Sky,2MASS All Sky J  1.24 microns,TWOMASS,,image,k;h;j
2MASS,2MASS All-Sky,,asky,2MASS All-Sky H,h,,H (1.662 microns),1.66,1.66 microns,near-IR,all-sky,all-sky,0.008,0.139,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#2MASSAll-Sky,2MASS All Sky H 1.66 microns,TWOMASS,,image,k;h;j
2MASS,2MASS All-Sky,,asky,2MASS All-Sky K,k,,K_s (2.159 microns),2.16,2.16 microns,near-IR,all-sky,all-sky,0.008,0.139,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#2MASSAll-Sky,2MASS All Sky K_s 2.16 microns,TWOMASS,,image,k;h;j
2MASS,2MASS Six Degree Mosaics,,mosaic,2MASS 6 deg mosaics J,j,,J (1.235 microns),1.24,1.24 microns,near-IR,all-sky,all-sky,0.008,0.139,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#2MASS6d,2MASS Mosaics J  1.24 microns,TWOMASS,fname like '%1asec.fits',image,
2MASS,2MASS Six Degree Mosaics,,mosaic,2MASS 6 deg mosaics H,h,,H (1.662 microns),1.66,1.66 microns,near-IR,all-sky,all-sky,0.008,0.139,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#2MASS6d,2MASS Mosaics H 1.66 microns,TWOMASS,fname like '%1asec.fits',image,
2MASS,2MASS Six Degree Mosaics,,mosaic,2MASS 6 deg mosaics K,k,,K_s (2.159 microns),2.16,2.16 microns,near-IR,all-sky,all-sky,0.008,0.139,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#2MASS6d,2MASS Mosaics K_s 2.16 microns,TWOMASS,fname like '%1asec.fits',image,
2MASS,2MASS LGA: Large Galaxy Atlas,2MASS,twomass.lga_images,2MASS LGA J,J,,J (1.24 microns),1.24,1.24 microns,near-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#2MLGA,LH J (1.24 microns),ATLAS,file_type='science',image,
2MASS,2MASS LGA: Large Galaxy Atlas,2MASS,twomass.lga_images,2MASS LGA H,H,,H (1.66 microns),1.66,1.66 microns,near-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#2MLGA,LH H (1.66 microns),ATLAS,file_type='science',image,
2MASS,2MASS LGA: Large Galaxy Atlas,2MASS,twomass.lga_images,2MASS LGA K,K,,K_s (2.16 microns),2.16,2.16 microns,near-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#2MLGA,LH K (2.16 microns),ATLAS,file_type='science',image,
2MASS,2MASS Full Survey,,askyw,2MASS Full J,j,,J (1.235 microns),1.24,1.24 microns,near-IR,all-sky,all-sky,0.008,0.139,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#2MASSFull,2MASS All Sky J  1.24 microns,TWOMASS,,image,
