wavelength,label
5.5115,H2_S(7)
6.1088,H2_S(6)
6.9091,H2_S(5)
8.0258,H2_S(4)
9.6649,H2_S(3)
12.2785,H2_S(2)
17.0346,H2_S(1)
28.2207,H2_S(0)
6.985274,[ArII]
8.99138,[ArIII]
10.5105,[SIV]
12.813,[NeII]
14.3217,[NeV]
15.555,[NeIII]
18.713,[SIII]
25.91,[OIV]
25.989,[FeII]
33.480,[SIII]
34.8152,[SiII]
35.349,[FeII]
5.27,PAH_5.3
5.7,PAH_5.7
6.22,PAH_6.2
6.69,PAH_6.7
7.42,PAH_7.7a
7.6,PAH_7.7b
7.85,PAH_7.7c
8.33,PAH_8.3
8.61,PAH_8.6
10.68,PAH_10.7
11.23,PAH_11.3a
11.33,PAH_11.3b
11.99,PAH_12
12.62,PAH_12.6a
12.69,PAH_12.6b
13.48,PAH_13.48
14.04,PAH_14.04
14.19,PAH_14.19
15.9,PAH_15.9
16.45,PAH_17a
17.04,PAH_17b
17.37,PAH_17c
17.87,PAH_17d
33.1,PAH_33.1
